respid,b1_1_TV_Buy_Disc_DVD_FS_All,b1_2_TV_Buy_Disc_Blu.ray_FS_All,b1_3_TV_Buy_Digtl_FS_All,b1_4_TV_Buy_Digtl_Ep_All,b1_5_TV_Rent_Disc_Store_FS_All,b1_6_TV_Rent_Disc_Mail_FS_All,b1_7_TV_Rent_Digtl_Sub_FS_All,b1_8_TV_Rent_Digtl_Sub_Ep_All,b1_9_TV_Free_Digtl_Ads_FS_All,b1_10_TV_Free_Digtl_Ads_Ep_All,b1_11_TV_Free_Digtl_cVOD_Ep_All,b1a_1_TV_Buy_Disc_DVD_FS_Fam,b1a_2_TV_Buy_Disc_Blu.ray_FS_Fam,b1a_3_TV_Buy_Digtl_FS_Fam,b1a_4_TV_Buy_Digtl_Ep_Fam,b1a_5_TV_Rent_Disc_Store_FS_Fam,b1a_6_TV_Rent_Disc_Mail_FS_Fam,b1a_7_TV_Rent_Digtl_Sub_FS_Fam,b1a_8_TV_Rent_Digtl_Sub_Ep_Fam,b1a_9_TV_Free_Digtl_Ads_FS_Fam,b2_1_TV_Buy_Disc_DVD_FS_Catalog,b2_2_TV_Buy_Disc_Blu.ray_FS_Catalog,b2_3_TV_Buy_Digtl_FS_Catalog,b2_4_TV_Buy_Digtl_Ep_Catalog,b2_5_TV_Rent_Disc_Store_FS_Catalog,b2_6_TV_Rent_Disc_Mail_FS_Catalog,b3_1_Mo_Rent_Theater_All,b3_2_Mo_Buy_Disc_DVD_All,b3_3_Mo_Buy_Disc_Blu.ray_All,b3_4_Mo_Buy_Digtl_All,b3_5_Mo_Rent_Disc_Store_All,b3_6_Mo_Rent_Disc_Kiosk_All,b3_7_Mo_Rent_Disc_Mail_All,b3_8_Mo_Rent_Digtl_Trans_All,b3_9_Mo_Rent_Digtl_Sub_All,b3_10_Mo_Free_Digtl_All,b3_11_Mo_Rent_Digtl_cVOD_All,b3a_2_Mo_Buy_Disc_DVD_Fam,b3a_3_Mo_Buy_Disc_Blu.ray_Fam,b3a_4_Mo_Buy_Digtl_Fam,b3a_5_Mo_Rent_Disc_Store_Fam,b3a_6_Mo_Rent_Disc_Kiosk_Fam,b3a_7_Mo_Rent_Disc_Mail_Fam,b3a_8_Mo_Rent_Digtl_Trans_Fam,b3a_9_Mo_Rent_Digtl_Sub_Fam,b3a_11_Mo_Rent_Digtl_cVOD_Fam,b4_2_Mo_Buy_Disc_DVD_Catalog,b4_3_Mo_Buy_Disc_Blu.ray_Catalog,b4_4_Mo_Buy_Digtl_Catalog,b4_5_Mo_Rent_Disc_Store_Catalog,b4_6_Mo_Rent_Disc_Kiosk_Catalog,b4_7_Mo_Rent_Disc_Mail_Catalog,b4_8_Mo_Rent_Digtl_Trans_Catalog,b4_11_Mo_Rent_Digtl_cVOD_Catalog,b5_1_Game_Buy_Disc,b5_2_Game_buy_Digtl,b5_3_Game_buy_Digtl,b5_4_Game_buy_Disc,b5_5_Game_Rent_Disc,b5_6_Game_Rent_Disc,b5_7_Game_Rent_Digtl,b6_1_netflix.watch.instantly,b6_2_netflix.by.mail,b6_3_amazon.prime,b6_4_hulu,b6_5_cbs.all.access,b6_6_sling.tv,b6_7_wwe.network,b6_8_hbo.now,b6_9_playstation.vue,b6_10_starz,b6_11_showtime,b6_12_noggin,b6_9_35_other_playstation.vue.amount,dm3_parentU18,dm7_income,dm9_employment,dm11_education,dm12_marital_status,dm5_parboy_U2,dm5_parboy_2to3,dm5_parboy_4to5,dm5_parboy_6to8,dm5_parboy_9to11,dm5_parboy_12to14,dm5_parboy_15to17,dm5_pargirl_U2,dm5_pargirl_2to3,dm5_pargirl_4to5,dm5_pargirl_6to8,dm5_pargirl_9to11,dm5_pargirl_12to14,dm5_pargirl_15to17,dm6_rel.in.house_parent,dm6_rel.in.house_children,dm6_rel.in.house_grandparent,dm6_rel.in.house_grandchildren,dm6_rel.in.house_partner,dm6_rel.in.house_other,dm6_rel.in.house_unrelated,s3_gender,s4_age,s5_zip.code,s6_state,s7_span.lang.dom,cqS5xEx_2,Service_Cable_Provider,Device_Smartphone_Brand,Service_Cable_CancelTime,Device_TV_Std,Device_TV_HD,Device_TV_3D,Device_TV_4K,Device_TV_SmartTV,Device_Player_DVD,Device_Player_Blu.ray,Device_Player_3D.Blu.ray,Device_DVR,Device_Stream_Apple.TV,Device_Stream_Roku.player,Device_Stream_Chromecast,Device_Stream_Amazon.Fire.Stick,Device_Stream_Other,Device_Computer_Desktop,Device_Computer_Laptop,Device_Smartphone,Device_Wearable,Device_Tablet_iPad,Device_Tablet_Other,Device_Game_Xbox.360,Device_Game_Xbox.One,Device_Game_PS3,Device_Game_PS4,Device_Game_Nintendo.Wii,Device_Game_Nintendo.Wii.U,Device_Game_Other.console,Device_Game_Handheld,Service_Cable_Basic,Service_Cable_Expanded,Service_Cable_Premium,Service_Broadband,Service_Disc_Mail.Sub,Service_Stream_Netflix,Service_Stream_Amazon.Prime,Service_Stream_Hulu,Service_Stream_CBS.All.Access,Service_Stream_WWE.Network,Service_Stream_Sling.TV,Device_Stream_Roku.stick,Device_Stream_Amazon.Fire.TV,Service_Stream_HBO.Now,Service_Stream_Starz.Play,Service_Stream_Playstation.Vue,Service_Stream_Showtime.Anytime,Service_Stream_Noggin,Device_Virtual.Reality,Device.Service_None,Digital.Locker_iTunes,Digital.Locker_UltraViolet,Digital.Locker_Amazon.Instant.Video,Digital.Locker_Vudu,Digital.Locker_Google.Play,Digital.Locker_Disney.Movies.Anywhere,Digital.Locker_CinemaNow,Digital.Locker_Flixster,Digital.Locker_Other,Digital.Locker_None,Typ.Dev.Watch.Discs_DVD.player,Typ.Dev.Watch.Discs_Blu.ray.player,Typ.Dev.Watch.Discs_Desktop.computer,Typ.Dev.Watch.Discs_Laptop.computer,Typ.Dev.Watch.Discs_Xbox.360,Typ.Dev.Watch.Discs_Xbox.One,Typ.Dev.Watch.Discs_PS3,Typ.Dev.Watch.Discs_PS4,Typ.Dev.Watch.Discs_Other.Gaming.Console,Typ.Dev.Watch.Discs_None,Typ.Dev.Watch.Digital_Smart.TV,Typ.Dev.Watch.Digital_Blu.ray.player,Typ.Dev.Watch.Digital_DVR,Typ.Dev.Watch.Digital_Stream_Apple.TV,Typ.Dev.Watch.Digital_Stream_Roku.player,Typ.Dev.Watch.Digital_Stream_Chromecast,Typ.Dev.Watch.Digital_Stream_Amazon.Fire.Stick,Typ.Dev.Watch.Digital_Stream_Other,Typ.Dev.Watch.Digital_Computer_Desktop,Typ.Dev.Watch.Digital_Computer_Laptop,Typ.Dev.Watch.Digital_Smartphone,Typ.Dev.Watch.Digital_Tablet_iPad,Typ.Dev.Watch.Digital_Tablet_Other,Typ.Dev.Watch.Digital_Game_Xbox.360,Typ.Dev.Watch.Digital_Game_Xbox.One,Typ.Dev.Watch.Digital_Game_PS3,Typ.Dev.Watch.Digital_Game_PS4,Typ.Dev.Watch.Digital_Game_Nintendo.Wii,Typ.Dev.Watch.Digital_Game_Nintendo.Wii.U,Typ.Dev.Watch.Digital_Game_Other.Console,Typ.Dev.Watch.Digital_Game_Handheld,Typ.Dev.Watch.Digital_Stream_Roku.Stick,Typ.Dev.Watch.Digital_Stream_Amazon.Fire.TV,Typ.Dev.Watch.Digital_None
2254,8,6,5,3,6,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,3,2,1,3,2,2,5,4, ,17,20, , , ,32, ,38,41,44, ,1,6,1,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,36,77077,44, ,0,3,4, , ,1,1,1,1,1,1,1, ,1,1,1, , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, ,1,1,1, , , , , ,1,1, ,1,1, , ,1,0,1,0,1,1,0,0,0,0,1,1, ,1,0,0,0,0,0,0,0,0, ,1,1,1, , , ,1,0,1, ,0,0,0,1,0, ,0, , , ,0
2255,3,1,2,1,2,1,2,5,1,3,2,1,0,1,1,1,1,2,0,0,2,1,1,1,2,1,4,1,2,1,1,4,2,2,4,5,3,1,2,1,1,2,1,1,2,2,1,1,0,1,3,1,0,0,2,4,0,3,1,2,2,4,10,17,51, ,53, ,32, , , , , ,2,4,4,2,1, , , , , , , , , , , , , , ,1,0,0,0,0,0,0,1,26,1821,22, ,0,1,4, , , , ,1,1, ,1,1, ,1,1, , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1, ,1,1,1,1,1,1,1, , ,1, , ,1, , , , ,1, ,1,0,1,0,1,1,1,0,0,0, ,1,1,0,0,1,1,0, ,0,1,0, ,1,0, , , ,0,1,1,1, ,1,0,0,1, ,1, ,0, , ,0
2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , ,2,1,2,3,1, , , , , , , , , , , , , , ,0,1,0,0,0,0,0,2,51,30083,11, ,0, ,4,3,1, , , , ,1, , , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1, ,0,0, , , , , ,0, , , , , , , , ,0,1,1, , , , , , , , , , , , ,0
2257,0,1,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0, , , ,20, , , , , , , , , ,2,5,1,3,3, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,1,43,14075,33, ,0,2, , ,1,1,1,1,1,1, , ,1,1, , , , ,1, , , ,1, , , ,1,1,1, , ,1, ,1, , , , , ,1, , , , , , , , , , , , ,1,1,1,1,0,1,0,1,0,0,0, ,0, , , ,0,1, ,0,0, ,0,1, , , , ,0, , ,1, , , ,0,1,0, , ,0, , ,0
2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,3,1,3,1, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,2,21,47246,16, ,0, ,4,1, , , , , , , , , , , , ,1, , ,1,1, , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0, , , ,0, , ,1, , ,0, , , , , , ,1, , ,0,0, , , , ,1, , , , , , , ,0
2263,1,1,0,1,1,1,2,2,2,2,10,1,1,0,1,1,1,2,2,2,1,1,0,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,7,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,46,12758,33, ,0,2,1, ,1,1, , ,1,1,1, , , , , , , ,1, ,1, , ,1,1, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,0,1,1,1, ,1, , ,1, ,0,1,0, , , , , , ,0, ,1, ,0,0, , ,0, , , , , , ,0
2271,3,6,4,10,1,2,1,2,3,15,5,1,4,2,6,0,0,0,1,1,1,2,1,3,0,0,9,13,14,2,8,5,3,6,2,5,3,6,4,0,2,2,1,2,0,0,6,4,0,2,1,0,1,0,12,5,9,7,4,0,5,4, ,17,51,23,26,29, ,34, , , , ,2,6,4,2,1, , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,27,47403,16, ,0,3,1, ,1,1, , ,1,1,1, ,1, ,1,1,1, ,1,1,1,1, ,1,1,1,1,1, ,1, ,1,1,1,1,1, ,1,1,1,1,1,1,1, , , ,1, , , , ,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0, ,0,1,1,1, ,1,1,1, ,1,1,0, ,0,1,1,1,1, ,1, ,1,1, ,0
2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , ,2,7,3,4,3, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,1,72,23456,47, ,0,7,4, ,1,1, , , ,1, , , , , , , , ,1,1,1, ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1,0, ,0,0, , , , , ,1, , , , , , , , ,0,0,0,0, , , , , , , , , , , ,1
2273,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , ,17, , , , , , , , , , ,1,8,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,37,75160,44, ,0,98,4, , ,1, ,1, , , , ,1,1, , , , ,1,1,1, , ,1, , , ,1, , , , , , ,1,1, , ,1, , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1, , ,0,0, , , ,0, ,1, , ,0,1, , , , ,0,0,0, ,0, , , ,0, , , , , , ,0
2275,0,0,0,0,0,0,3,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , ,33, , , , , ,2,5,1,4,1, , , , , , , , , , , , , , ,0,0,0,0,0,0,1,2,23,94107,5, ,0,1,4, ,1, , , , , , , , ,1, , , , , ,1,1, , , , , , , , , , , ,1,1, , , ,1, , , , , , , ,1, , , , , , ,0,0,0,0,0,0,0,0,0,1, , , ,0, , , , , ,1, , , ,1, , , , , ,1,1, , , , , , , , , , , , ,0
2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,17, , , , , , , , , , ,1,6,4,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,59,16417,39, ,0,2,1, , ,1, , , , , , ,1, , , , , ,1,1,1, , , , , ,1, , , , , , ,1, ,1, , ,1, , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1, , ,1,0, , ,1, , ,0, , ,0, , , , , ,0,0,0, , , , ,0, , , , , , , ,1
2277,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,100,0,0,0,0,0,10,0,0,0,100,0,0,0,0,10,0,0,0,100,0,0,0,2,0,0,0,3,0,0, , , , , , , , , , , , , ,2,2,4,2,2, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,2,24,65681,26, ,0, ,1,3, , , , , , , , , , , , , , , , ,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0, , , , ,1, , , , ,0, , , , , , , , , , ,0, ,0,0, , , , , , , , , ,1
2278,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,18, , , , , , , , , , ,2,5,1,4,2, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,2,24,61705,15, ,0,1,4, , ,1, ,1, , ,1,1, , , ,1, , ,1,1,1,1,1,1,1,1,1,1, ,1, ,1, , ,1,1, , ,1, , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0, ,0, ,0, , , ,1, , ,0,0,0,0,0,0,0,0,0, ,0, ,0, , ,0
2284,0,0,0,0,0,0,10,5,1,3,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,7,0,0,0,0,3,0,0,10,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, ,17,20, ,53, , , , , , , ,2,4,2,4,1, , , , , , , , , , , , , , ,0,0,0,0,0,0,1,2,35,62269,15, ,0,5,1, ,1,1, , , ,1,1, , , ,1, , ,1, ,1,1, , ,1, , , , , , , , ,1,1, ,1, ,1,1,1, , ,1,1, , , , , , , , ,0,1,1,1,1,0,0,0,0,0,1,1, ,1, , , , , ,0, ,1, , ,1, , ,0, ,1,1, ,1, , , , , , , , ,1, ,0
2286,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0, , , , , , , , , , , , , , ,10,4,1,1, , , , , , , , , , , , , , ,1,0,0,0,0,0,0,1,15,55125,24, ,0, ,1,3, , , , , , , , , , , , , , , ,1,1, ,1, , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1, , , ,0, , , , , ,1, , , , , , , , , ,1,1,0, , , , , ,0, , ,0, , ,0
2288,0,0,0,0,0,0,0,6,6,6,12,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,4,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0, , , , , , , , , , , , , ,2,7,1,4,3, , , , , , , , , , , , , , ,1,1,0,0,1,1,0,2,51,2467,22, ,0,1,4, , ,1, , , ,1, , , , , , , , , ,1,1, , , ,1, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1, , ,0,0, , , , ,0, , , , , , , , , ,1,0, , ,1, , , , ,1, , , , ,0
2289,0,2,0,0,0,0,2,6,0,5,20,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,6,2,5,0,0,0,0,0,3,0,2,2,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3, ,17,20, , , , , , , , , ,2,8,1,6,3, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,2,58,14450,33, ,0,3,1, ,1,1, , , ,1,1,1, , , , , , , ,1,1, , ,1, , , , ,1, , , , ,1, , , ,1,1,1, , , , ,1, , , , , , , ,0,0,1,0,0,1,0,0,0,0,1,1, ,0, , , , , ,0, ,0, , , , , , , ,0,0, ,1, , , , ,0, , , , ,1,0
2294,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, , ,20, , , , , , , , , ,2,7,4,2,1, , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,40,8004,31, ,0,1,1, ,1,1, , ,1,1, , , , , , , ,1, ,1,1, , ,1, , ,1, , , , ,1, ,1, ,1, ,1, ,1, , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,0,1, , ,0, , ,1, , ,0,0, , , , , , ,1, ,1,1, ,1, , ,0, , , , ,1, , ,0
2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , ,2,7,3,4,3, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,2,53,37618,43, ,0, , ,1,1, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1, , , , , , , , ,0, , , ,0, , , , , , , , , , , , , , , , , , , ,1
2300,0,1,0,0,0,0,4,4,2,0,1,0,1,0,0,0,0,3,3,1,0,1,0,0,0,0,4,0,2,2,0,0,0,0,5,0,0,0,2,2,0,0,0,0,4,0,0,2,2,0,0,0,0,0,3,2,1,0,0,0,0,4, , ,51, , ,28,32, ,38, ,43, ,1,4,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,38,29526,41, ,0,9,1, , ,1,1,1,1,1,1,1,1, ,1,1, ,1,1,1,1,1, ,1,1,1, ,1,1, , ,1, ,1, , , ,1, ,1, ,1, ,1, ,1,1, , ,1,1, ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0, ,0, ,0,0,0,1, ,1,1, ,1,1,1,1, ,1,1,1, ,1,1, , ,1,1, ,0
2305,2,2,1,5,0,0,1,3,3,2,3,2,1,1,3,0,0,1,2,2,1,1,1,2,0,0,7,1,1,1,0,0,1,1,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,0,0,1,0,2,7,17,20, , , ,32, , , , , ,1,5,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,36,11369,33, ,0,2, , ,1,1, , ,1,1, , ,1, , , , , ,1,1, , , ,1,1, , ,1, ,1, , ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , ,0,0,1,0,0,0,0,0,0,0,1, ,1,1,0, , ,0, ,0,1, ,1, , , , , ,1,1, , ,0,0, , ,0, ,0, , , ,1,0
2306,0,1,1,1,0,0,1,30,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,3,1,0,2,0,1,30,0,1,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,1,5,0,0,0,0,3, ,17, , , , , , , , , , ,2,7,1,4,3, , , , , , , , , , , , , , ,0,0,0,0,1,0,0,1,29,37421,43, ,0,1,1, , ,1,1, ,1, ,1,1, , ,1, , ,1,1,1,1,1,1,1,1,1,1, ,1, ,1,1, ,1, , , ,1,1, , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,0,0, ,1,1,0,0,1,0, ,0,0,1,1, , ,1, , ,1,1,1,1,1,1,0,1,0, ,0, ,0,0, , ,0
2310,0,0,0,0,0,0,7,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,4, , , , , , , , , , , , ,1,9,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,59,10989,33, ,0,9,4, , ,1, , ,1, ,1, ,1,1, , , , , ,1,1, ,1,1, ,1, , , , , , , , ,1,1, ,1, , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0, ,0, ,1, ,0, , , ,0,1,1,0,1, , , , , ,1,1,1,1, ,0, , , , , , , , ,0
2311,0,2,0,0,0,0,3,19,0,3,70,0,2,0,0,0,0,3,8,0,0,2,0,0,0,0,6,5,2,1,0,4,18,1,11,0,4,5,2,1,0,2,3,1,3,3,1,0,0,0,2,3,0,0,2,9,7,9,1,9,9,4,10,17, , , , , , , , , , ,1,7,1,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,41,43235,36, ,0,5,4, , ,1, , , , ,1, ,1, , , ,1, , ,1,1, ,1, , ,1, , , ,1, ,1, ,1, ,1,1,1,1, , , , , , , , , , , , , ,1,0,1,0,0,0,0,0,0,0, ,1, ,0, ,1, , , ,0, ,0,0, , , ,1, , ,1,1,1, , ,1, , , ,0, ,0, , ,0
2312,2,0,0,3,0,0,9,4,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,20,2,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0, , ,17,51, , , , , , , , , ,1,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,49,19135,39, ,0,6,4, , ,1, , ,1,1, , ,1, , , ,1, , ,1,1, ,1,1, , , , ,1, , , , , ,1,1, , ,1,1, , , , , , , , , , , , ,1,0,1,0,0,0,0,0,0,0,1, , ,1, , , , , ,0,1, ,1, , , ,1, , ,1,1,1,0, , , , ,0, , , , , ,0
2314,1,0,0,0,0,0,20,20,0,0,0,1,0,0,0,0,0,20,10,0,1,0,0,0,0,0,4,5,5,0,0,2,0,0,20,0,0,5,5,0,0,2,0,0,10,0,5,5,0,0,2,0,0,0,5,0,0,0,0,0,0,4, ,17,51, , , , , , , , , ,1,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,41,83607,14, ,0, , ,2, ,1, , , ,1,1, , , , , , , ,1,1, , , ,1,1,1, , ,1, , , , , , , , ,1,1,1, , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1, , , ,0, ,0, , , , , , ,0,0, , ,0,1,1, , ,0, , , , , ,0
2315,0,0,0,0,0,0,3,75,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,17, , , , , , , , , , , ,1,2,3,1, , , , , , , , , , , , , , ,0,0,0,0,0,0,1,2,20,84604,45, ,0,3,1, , ,1, , , , , , , ,1, , , , , ,1,1, , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,0,0, , , ,0, , , , , ,1, , , ,1, , , , , ,1,1, , , , , , , , , , , , ,0
2316,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,5,0,0,0,20,15,0,6,0,0,1,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,17, , , , , , , , , , ,1,3,4,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,38,45431,36, ,0,2,1, ,1,1, , , ,1, , , , , , ,1, ,1,1,1, , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,1, ,1,1, , , , , ,0, , , , , , ,1, ,0,0,0, , , , , , , , , , , , ,0
2320,7,5,0,0,0,0,5,20,1,5,1,5,5,0,0,0,0,3,10,0,2,1,0,0,0,0,5,0,24,0,0,0,0,0,10,0,1,0,6,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,3,1,0,0,0,0,3, ,50, , , , , , , , , , , ,4,4,3,1, , , , , , , , , , , , , , ,1,0,0,0,0,1,0,2,18,31548,11, ,0,4,1, , ,1,1, ,1,1,1,1, , , , , , ,1,1,1,1, ,1, , ,1,1,1,1, ,1, ,1,1,1, ,1,1, , , , , , , , , , , , , ,1,1,0,1,1,0,0,0,0,0,1,1,1,1, , ,1,1, ,0,1,0, , , , , , ,1,1,1, ,1, , ,1,1,0,1, ,1, , ,0
